size	stride	elapsed(s)	cycles
4096	1	0.000930	931
4096	2	0.000922	922
4096	4	0.000890	890
4096	8	0.000879	879
4096	16	0.000884	885
4096	32	0.000890	889
4096	64	0.000863	863
4096	128	0.000811	811
4096	256	0.000794	795
4096	512	0.000781	781
4096	1024	0.000759	759
4096	2048	0.000794	795
8192	1	0.001814	1815
8192	2	0.001784	1784
8192	4	0.001776	1776
8192	8	0.001750	1750
8192	16	0.001782	1782
8192	32	0.001755	1755
8192	64	0.001801	1801
8192	128	0.001670	1670
8192	256	0.001621	1621
8192	512	0.001588	1589
8192	1024	0.001561	1561
8192	2048	0.001648	1648
8192	4096	0.001654	1654
16384	1	0.003572	3572
16384	2	0.003562	3562
16384	4	0.003549	3549
16384	8	0.003498	3498
16384	16	0.003605	3605
16384	32	0.003651	3651
16384	64	0.003578	3578
16384	128	0.003440	3440
16384	256	0.003370	3369
16384	512	0.003252	3252
16384	1024	0.003185	3185
16384	2048	0.003320	3320
16384	4096	0.003462	3462
16384	8192	0.003307	3307
32768	1	0.007087	7087
32768	2	0.007081	7082
32768	4	0.007122	7122
32768	8	0.007067	7067
32768	16	0.006998	6998
32768	32	0.007149	7149
32768	64	0.007133	7133
32768	128	0.007106	7106
32768	256	0.007055	7055
32768	512	0.006823	6823
32768	1024	0.006512	6512
32768	2048	0.006761	6762
32768	4096	0.007045	7046
32768	8192	0.006921	6922
32768	16384	0.006621	6621
65536	1	0.013366	13366
65536	2	0.012921	12921
65536	4	0.014177	14177
65536	8	0.014167	14167
65536	16	0.014073	14073
65536	32	0.013972	13972
65536	64	0.012095	12095
65536	128	0.012262	12261
65536	256	0.012209	12209
65536	512	0.012363	12363
65536	1024	0.012379	12378
65536	2048	0.030737	30738
65536	4096	0.032598	32598
65536	8192	0.014189	14189
65536	16384	0.013904	13904
65536	32768	0.013292	13292
131072	1	0.026765	26765
131072	2	0.025866	25866
131072	4	0.028083	28083
131072	8	0.028576	28576
131072	16	0.028263	28264
131072	32	0.027765	27764
131072	64	0.024345	24345
131072	128	0.024322	24322
131072	256	0.024280	24280
131072	512	0.024541	24541
131072	1024	0.024498	24498
131072	2048	0.051389	51389
131072	4096	0.102635	102635
131072	8192	0.064996	64996
131072	16384	0.028117	28117
131072	32768	0.027764	27763
131072	65536	0.026615	26615
262144	1	0.053982	53982
262144	2	0.051991	51991
262144	4	0.056238	56237
262144	8	0.056724	56724
262144	16	0.056085	56085
262144	32	0.054246	54246
262144	64	0.052493	52493
262144	128	0.058228	58229
262144	256	0.064963	64963
262144	512	0.067368	67368
262144	1024	0.070083	70083
262144	2048	0.144455	144455
262144	4096	0.220023	220023
262144	8192	0.214551	214550
262144	16384	0.220318	220318
262144	32768	0.056310	56310
262144	65536	0.055650	55650
262144	131072	0.053193	53193
524288	1	0.107694	107694
524288	2	0.104162	104162
524288	4	0.112604	112604
524288	8	0.113237	113237
524288	16	0.111580	111580
524288	32	0.107679	107679
524288	64	0.111450	111450
524288	128	0.132901	132902
524288	256	0.161276	161276
524288	512	0.168338	168338
524288	1024	0.172283	172283
524288	2048	0.159432	159433
524288	4096	0.453488	453488
524288	8192	0.438889	438889
524288	16384	0.430721	430721
524288	32768	0.287748	287748
524288	65536	0.120481	120482
524288	131072	0.111337	111337
524288	262144	0.106876	106876
1048576	1	0.215276	215275
1048576	2	0.207556	207556
1048576	4	0.225146	225146
1048576	8	0.226678	226678
1048576	16	0.222972	222971
1048576	32	0.214904	214905
1048576	64	0.223820	223819
1048576	128	0.270224	270224
1048576	256	0.335665	335665
1048576	512	0.352499	352498
1048576	1024	0.362305	362304
1048576	2048	0.319982	319982
1048576	4096	0.919590	919590
1048576	8192	0.899725	899725
1048576	16384	0.944405	944404
1048576	32768	0.850086	850086
1048576	65536	0.577495	577495
1048576	131072	0.240654	240654
1048576	262144	0.222619	222619
1048576	524288	0.212840	212839
2097152	1	0.430951	430951
2097152	2	0.414932	414932
2097152	4	0.450606	450606
2097152	8	0.453009	453009
2097152	16	0.446659	446659
2097152	32	0.430184	430184
2097152	64	0.448276	448276
2097152	128	0.545598	545598
2097152	256	0.673903	673903
2097152	512	0.710319	710318
2097152	1024	0.728798	728798
2097152	2048	0.640569	640569
2097152	4096	1.881809	1881810
2097152	8192	1.775403	1775404
2097152	16384	1.864991	1864991
2097152	32768	1.825509	1825509
2097152	65536	1.829520	1829520
2097152	131072	1.440025	1440025
2097152	262144	0.481331	481331
2097152	524288	0.447293	447293
2097152	1048576	0.425754	425754
4194304	1	0.863898	863898
4194304	2	0.833545	833545
4194304	4	0.900805	900805
4194304	8	0.907586	907586
4194304	16	0.896587	896587
4194304	32	0.868257	868256
4194304	64	0.933756	933755
4194304	128	1.133998	1133998
4194304	256	1.416908	1416908
4194304	512	1.486051	1486052
4194304	1024	1.577281	1577281
4194304	2048	1.548330	1548330
4194304	4096	3.722453	3722453
4194304	8192	3.626449	3626449
4194304	16384	3.717769	3717769
4194304	32768	3.584128	3584128
4194304	65536	3.531569	3531569
4194304	131072	3.858463	3858463
4194304	262144	2.310363	2310362
4194304	524288	0.962940	962940
4194304	1048576	0.890223	890223
4194304	2097152	0.852112	852112
