size	stride	elapsed(s)	cycles
4096	1	0.000907	907
4096	2	0.000912	911
4096	4	0.000887	887
4096	8	0.000875	875
4096	16	0.000920	920
4096	32	0.000886	886
4096	64	0.000829	829
4096	128	0.000833	832
4096	256	0.000830	830
4096	512	0.000785	785
4096	1024	0.000759	759
4096	2048	0.000760	761
8192	1	0.001857	1871
8192	2	0.001815	1815
8192	4	0.001837	1836
8192	8	0.001776	1776
8192	16	0.001776	1776
8192	32	0.001804	1804
8192	64	0.001796	1796
8192	128	0.001696	1696
8192	256	0.001685	1685
8192	512	0.001592	1592
8192	1024	0.001561	1561
8192	2048	0.001618	1618
8192	4096	0.001660	1661
16384	1	0.003606	3606
16384	2	0.003595	3595
16384	4	0.003631	3631
16384	8	0.003577	3577
16384	16	0.003658	3658
16384	32	0.003625	3625
16384	64	0.003601	3600
16384	128	0.003493	3493
16384	256	0.003438	3437
16384	512	0.003250	3249
16384	1024	0.003189	3189
16384	2048	0.003374	3374
16384	4096	0.003516	3516
16384	8192	0.003309	3309
32768	1	0.007130	7131
32768	2	0.007228	7229
32768	4	0.007177	7178
32768	8	0.007083	7083
32768	16	0.007136	7136
32768	32	0.006919	6919
32768	64	0.007424	7423
32768	128	0.007024	7023
32768	256	0.007020	7020
32768	512	0.006657	6657
32768	1024	0.006487	6487
32768	2048	0.006716	6715
32768	4096	0.007016	7016
32768	8192	0.006996	6996
32768	16384	0.006639	6639
65536	1	0.013637	13638
65536	2	0.013018	13018
65536	4	0.013899	13899
65536	8	0.014287	14286
65536	16	0.014320	14321
65536	32	0.014500	14499
65536	64	0.013163	13163
65536	128	0.012191	12191
65536	256	0.012224	12225
65536	512	0.012351	12351
65536	1024	0.012057	12057
65536	2048	0.014110	14110
65536	4096	0.048464	48464
65536	8192	0.014207	14207
65536	16384	0.014764	14763
65536	32768	0.013273	13273
131072	1	0.026865	26865
131072	2	0.026132	26132
131072	4	0.028055	28055
131072	8	0.028568	28569
131072	16	0.028485	28485
131072	32	0.028422	28422
131072	64	0.025799	25799
131072	128	0.025468	25468
131072	256	0.025923	25923
131072	512	0.026380	26381
131072	1024	0.027611	27611
131072	2048	0.067065	67065
131072	4096	0.106825	106825
131072	8192	0.098590	98590
131072	16384	0.028913	28913
131072	32768	0.027738	27738
131072	65536	0.026692	26692
262144	1	0.053908	53909
262144	2	0.051911	51911
262144	4	0.055991	55991
262144	8	0.056646	56646
262144	16	0.056292	56292
262144	32	0.055080	55081
262144	64	0.053736	53736
262144	128	0.058850	58849
262144	256	0.065924	65924
262144	512	0.068399	68399
262144	1024	0.071778	71778
262144	2048	0.125259	125258
262144	4096	0.214500	214500
262144	8192	0.204077	204077
262144	16384	0.196422	196422
262144	32768	0.056522	56523
262144	65536	0.055705	55705
262144	131072	0.053356	53356
524288	1	0.107648	107647
524288	2	0.104227	104227
524288	4	0.112533	112533
524288	8	0.113449	113449
524288	16	0.112104	112104
524288	32	0.109090	109090
524288	64	0.113052	113052
524288	128	0.132983	132983
524288	256	0.161525	161525
524288	512	0.168054	168054
524288	1024	0.171694	171694
524288	2048	0.159231	159232
524288	4096	0.463991	463990
524288	8192	0.455248	455247
524288	16384	0.489682	489682
524288	32768	0.391071	391071
524288	65536	0.120521	120521
524288	131072	0.111187	111187
524288	262144	0.106720	106720
1048576	1	0.215797	215797
1048576	2	0.208425	208425
1048576	4	0.225173	225173
1048576	8	0.226295	226295
1048576	16	0.223139	223140
1048576	32	0.217123	217123
1048576	64	0.227420	227419
1048576	128	0.271323	271323
1048576	256	0.337843	337843
1048576	512	0.354430	354430
1048576	1024	0.362726	362726
1048576	2048	0.322082	322082
1048576	4096	0.904688	904689
1048576	8192	0.875273	875273
1048576	16384	0.884335	884334
1048576	32768	0.839700	839699
1048576	65536	0.727820	727819
1048576	131072	0.240724	240725
1048576	262144	0.222697	222697
1048576	524288	0.212396	212396
2097152	1	0.432199	432199
2097152	2	0.417587	417586
2097152	4	0.450703	450703
2097152	8	0.452593	452593
2097152	16	0.447324	447325
2097152	32	0.435439	435439
2097152	64	0.457665	457665
2097152	128	0.541987	541987
2097152	256	0.676055	676055
2097152	512	0.710397	710397
2097152	1024	0.729280	729280
2097152	2048	0.646463	646463
2097152	4096	1.842453	1842453
2097152	8192	1.848271	1848270
2097152	16384	1.826435	1826435
2097152	32768	1.745367	1745367
2097152	65536	1.687174	1687174
2097152	131072	1.156600	1156600
2097152	262144	0.481402	481402
2097152	524288	0.445763	445763
2097152	1048576	0.425413	425413
4194304	1	0.864585	864586
4194304	2	0.834884	834884
4194304	4	0.900638	900638
4194304	8	0.906938	906938
4194304	16	0.899499	899498
4194304	32	0.882222	882223
4194304	64	0.944067	944066
4194304	128	1.126782	1126781
4194304	256	1.407949	1407949
4194304	512	1.520023	1520023
4194304	1024	1.528483	1528482
4194304	2048	1.608913	1608913
4194304	4096	3.691536	3691536
4194304	8192	3.720215	3720214
4194304	16384	3.631446	3631445
4194304	32768	3.612507	3612507
4194304	65536	3.468911	3468911
4194304	131072	3.392248	3392247
4194304	262144	2.310892	2310892
4194304	524288	0.963358	963359
4194304	1048576	0.890812	890812
4194304	2097152	0.850702	850702
