size	stride	elapsed(s)	cycles
4096	1	0.000972	972
4096	2	0.000889	888
4096	4	0.000887	887
4096	8	0.000908	907
4096	16	0.000925	925
4096	32	0.000890	890
4096	64	0.000835	834
4096	128	0.000815	815
4096	256	0.000795	795
4096	512	0.000812	812
4096	1024	0.000763	762
4096	2048	0.000769	769
8192	1	0.001863	1862
8192	2	0.001786	1786
8192	4	0.001778	1778
8192	8	0.001786	1786
8192	16	0.001751	1750
8192	32	0.001772	1772
8192	64	0.001788	1788
8192	128	0.001675	1675
8192	256	0.001618	1618
8192	512	0.001588	1589
8192	1024	0.001565	1565
8192	2048	0.001617	1617
8192	4096	0.001711	1710
16384	1	0.003598	3598
16384	2	0.003587	3587
16384	4	0.003610	3610
16384	8	0.003511	3512
16384	16	0.003559	3559
16384	32	0.003549	3549
16384	64	0.003557	3557
16384	128	0.003522	3522
16384	256	0.003300	3301
16384	512	0.003277	3276
16384	1024	0.003238	3238
16384	2048	0.003378	3378
16384	4096	0.003463	3463
16384	8192	0.003309	3309
32768	1	0.007074	7074
32768	2	0.007114	7115
32768	4	0.007044	7044
32768	8	0.006960	6960
32768	16	0.006936	6937
32768	32	0.006755	6756
32768	64	0.006467	6467
32768	128	0.007205	7206
32768	256	0.006981	6981
32768	512	0.006709	6709
32768	1024	0.006491	6491
32768	2048	0.006756	6756
32768	4096	0.007089	7089
32768	8192	0.007052	7052
32768	16384	0.006649	6649
65536	1	0.013395	13394
65536	2	0.012959	12959
65536	4	0.014202	14202
65536	8	0.014219	14219
65536	16	0.014253	14253
65536	32	0.014054	14053
65536	64	0.012839	12839
65536	128	0.013864	13863
65536	256	0.012244	12244
65536	512	0.012375	12374
65536	1024	0.012025	12025
65536	2048	0.031211	31211
65536	4096	0.032399	32399
65536	8192	0.014059	14059
65536	16384	0.013861	13861
65536	32768	0.013318	13317
131072	1	0.026803	26803
131072	2	0.025910	25910
131072	4	0.028188	28188
131072	8	0.028319	28319
131072	16	0.028084	28084
131072	32	0.027322	27321
131072	64	0.025099	25100
131072	128	0.027234	27234
131072	256	0.026786	26786
131072	512	0.027171	27171
131072	1024	0.029083	29083
131072	2048	0.079329	79329
131072	4096	0.114388	114388
131072	8192	0.064868	64868
131072	16384	0.028117	28117
131072	32768	0.027805	27804
131072	65536	0.026689	26689
262144	1	0.053911	53911
262144	2	0.052151	52151
262144	4	0.056566	56566
262144	8	0.056552	56552
262144	16	0.056261	56261
262144	32	0.054773	54773
262144	64	0.052398	52398
262144	128	0.059905	59906
262144	256	0.064553	64553
262144	512	0.067828	67828
262144	1024	0.071944	71944
262144	2048	0.149730	149730
262144	4096	0.241830	241830
262144	8192	0.238623	238624
262144	16384	0.130153	130152
262144	32768	0.056480	56480
262144	65536	0.055840	55840
262144	131072	0.053197	53196
524288	1	0.107761	107761
524288	2	0.104287	104287
524288	4	0.113167	113167
524288	8	0.112630	112629
524288	16	0.111951	111951
524288	32	0.108475	108475
524288	64	0.111381	111381
524288	128	0.135051	135050
524288	256	0.161463	161463
524288	512	0.168786	168785
524288	1024	0.173836	173836
524288	2048	0.159104	159104
524288	4096	0.484648	484649
524288	8192	0.472495	472495
524288	16384	0.420943	420943
524288	32768	0.287065	287064
524288	65536	0.120410	120411
524288	131072	0.111331	111330
524288	262144	0.106413	106413
1048576	1	0.215798	215797
1048576	2	0.207802	207802
1048576	4	0.226231	226231
1048576	8	0.225456	225456
1048576	16	0.225199	225198
1048576	32	0.217403	217404
1048576	64	0.226161	226161
1048576	128	0.278343	278343
1048576	256	0.337532	337532
1048576	512	0.353384	353385
1048576	1024	0.364367	364367
1048576	2048	0.321697	321697
1048576	4096	0.944413	944413
1048576	8192	0.908248	908248
1048576	16384	0.909767	909767
1048576	32768	0.847139	847140
1048576	65536	0.577063	577063
1048576	131072	0.240558	240557
1048576	262144	0.223004	223003
1048576	524288	0.212658	212657
2097152	1	0.431916	431916
2097152	2	0.417917	417917
2097152	4	0.452966	452965
2097152	8	0.450944	450944
2097152	16	0.450273	450273
2097152	32	0.434112	434112
2097152	64	0.452341	452342
2097152	128	0.557200	557200
2097152	256	0.673762	673762
2097152	512	0.710998	710997
2097152	1024	0.731276	731276
2097152	2048	0.646009	646008
2097152	4096	1.861742	1861742
2097152	8192	1.814688	1814687
2097152	16384	1.804024	1804024
2097152	32768	1.666194	1666193
2097152	65536	1.671539	1671539
2097152	131072	1.570560	1570559
2097152	262144	0.481484	481485
2097152	524288	0.445623	445624
2097152	1048576	0.425313	425313
4194304	1	0.864333	864333
4194304	2	0.836849	836849
4194304	4	0.906272	906272
4194304	8	0.902312	902311
4194304	16	0.900540	900540
4194304	32	0.873421	873421
4194304	64	0.916913	916913
4194304	128	1.144873	1144872
4194304	256	1.392953	1392952
4194304	512	1.488160	1488160
4194304	1024	1.602478	1602478
4194304	2048	1.353808	1353808
4194304	4096	3.720554	3720554
4194304	8192	3.703018	3703019
4194304	16384	3.570341	3570341
4194304	32768	3.541236	3541236
4194304	65536	3.610376	3610376
4194304	131072	3.307898	3307897
4194304	262144	2.315568	2315568
4194304	524288	0.962364	962364
4194304	1048576	0.890791	890792
4194304	2097152	0.850397	850397
